Parent Property Name,Postal Code,Street Name,Borough,Primary Property Type - Self Selected,Year Built,Metered Areas (Energy),Water Required?
Fourth Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1954,Whole Building,No
Fourth Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1954,Whole Building,No
Fourth Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1954,Whole Building,No
Fourth Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1954,Whole Building,No
Fourth Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1954,Whole Building,No
Fourth Housing Company Inc.,11365,160 STREET,Queens,Multifamily Housing,1954,Whole Building,No
Fifth Housing Company Inc,11365,160 STREET,Queens,Multifamily Housing,1966,Whole Building,don't know
Fifth Housing Company Inc,11365,160 STREET,Queens,Multifamily Housing,1966,Whole Building,don't know
Fifth Housing Company Inc,11365,160 STREET,Queens,Multifamily Housing,1966,Whole Building,No
Harry Silver Housing,11203,RUTLAND ROAD,Brooklyn,Multifamily Housing,1953,Whole Building,No
Harry Silver Housing,11203,RUTLAND ROAD,Brooklyn,Multifamily Housing,1953,Not Available,No
Harry Silver Housing,11203,RUTLAND ROAD,Brooklyn,Multifamily Housing,1953,Not Available,No
Harry Silver Housing,11203,RUTLAND ROAD,Brooklyn,Multifamily Housing,1953,Not Available,don't know
WEST BRIGHTON I/WEST BRIGHTON II CAMPUS,10310,ALASKA STREET,Staten Island,Multifamily Housing,1962,Whole Building,don't know
WEST BRIGHTON I/WEST BRIGHTON II CAMPUS,10310,ALASKA STREET,Staten Island,Multifamily Housing,1962,Whole Building,No
WEST BRIGHTON I/WEST BRIGHTON II CAMPUS,10310,ALASKA STREET,Staten Island,Multifamily Housing,1962,Whole Building,No
WEST BRIGHTON I/WEST BRIGHTON II CAMPUS,10310,ALASKA STREET,Staten Island,Multifamily Housing,1962,Whole Building,No
Fieldston School Building,10471,FIELDSTON ROAD,Bronx,K-12 School,1928,Whole Building,Yes
"Mall 1-Bay Plaza, LLC",10475,No street name,No borough,Enclosed Mall,2014,Whole Building,Yes
"Mall 1-Bay Plaza, LLC",10475,No street name,No borough,Enclosed Mall,2014,Whole Building,Yes
"Mall 1-Bay Plaza, LLC",10475,BAYCHESTER AVENUE,Bronx,Parking,2014,Not Available,No
"Mall 1-Bay Plaza, LLC",10475,BAYCHESTER AVENUE,Bronx,Parking,2014,Not Available,No
Jalen: 134-30 Franklin Ave (Parent),11355,FRANKLIN AVENUE,Queens,Multifamily Housing,1952,Whole Building,don't know
Jalen: 134-30 Franklin Ave (Parent),11355,FRANKLIN AVENUE,Queens,Multifamily Housing,1952,Not Available,No
AAR: 147-35 38th Ave (Parent),11354,38 AVENUE,Queens,Multifamily Housing,1950,Whole Building,No
92nd Street Y (Parent),10128,No street name,No borough,Other - Recreation,1930,Whole Building,don't know
92nd Street Y (Parent),10128,No street name,No borough,Other - Recreation,1930,Whole Building,don't know
92nd Street Y (Parent),10128,LEXINGTON AVENUE,Manhattan,Other - Recreation,1930,Not Available,Yes
Beech Hills Corp 1 Site 6,11362,No street name,No borough,Multifamily Housing,1951,Whole Building,don't know
Beech Hills Corp 1 Site 1,11362,62 AVENUE,Queens,Multifamily Housing,1951,Whole Building,Yes
Beech Hills Corp 2 Site 2,11362,HORACE HARDING EXPRE,Queens,Multifamily Housing,1951,Whole Building,don't know
Beech Hills Corp 2 Site 3,11362,57 DRIVE,Queens,Multifamily Housing,1951,Whole Building,No
Beech Hills Corp 3 Site 4,11362,HOR HARDING EP SR S,Queens,Multifamily Housing,1951,Whole Building,No
The Morgan Library & Museum,10016,No street name,No borough,Library,1906,Whole Building,Yes
Beech Hills Corp 3 Site 5,11362,57 DRIVE,Queens,Multifamily Housing,1951,Whole Building,don't know
Deepdale Corp 1 Cluster C,11362,60 AVENUE,Queens,Multifamily Housing,1953,Whole Building,No
Deepdale Corp 1 Cluster D,11362,MARATHON PARKWAY,Queens,Multifamily Housing,1953,Whole Building,No
Deepdale Corp 2 Cluster E,11362,251 STREET,Queens,Multifamily Housing,1953,Whole Building,Yes
Deepdale Corp 2 Cluster F,11362,No street name,No borough,Multifamily Housing,1953,Whole Building,Yes
Deepdale Corp 3 Cluster J,11362,No street name,No borough,Multifamily Housing,1953,Whole Building,Yes
404 Lafayette Street,10003,BROADWAY,Manhattan,College/University,1900,Whole Building,don't know
404 Lafayette Street,10003,BROADWAY,Manhattan,Other - Education,1914,Not Available,Yes
Chelsea Gardens Apartments,10011,WEST 23 STREET,Manhattan,Multifamily Housing,1939,Whole Building,don't know
Chelsea Gardens Apartments,10011,WEST 23 STREET,Manhattan,Multifamily Housing,1939,Whole Building,don't know
Chelsea Gardens Apartments,10011,WEST 23 STREET,Manhattan,Multifamily Housing,1939,Whole Building,Yes
